Id,category,Label
nm0626259,actor,Franco Nero
nm0711501,actor,Ivan Rassimov
nm0818874,actor,Joe Spinell
nm0001394,actor,Derek Jacobi
nm0191288,actor,Víctor Cuica
nm0760640,actor,Enrique San Francisco
nm0001592,actor,Joe Pantoliano
nm0001917,actor,Pedro Armendáriz Jr.
nm0494432,actor,Paul Le Mat
nm0618389,actor,Marius Müller-Westernhagen
nm0794827,actor,Kuan-Hsiung Wang
nm0266649,actor,Yat Fan Lau
nm0588553,actor,Jason Miller
nm0281130,actor,Ed Flanders
nm0000661,actor,Donald Sutherland
nm0001812,actor,Lee Van Cleef
nm0734000,actor,Jean Rochefort
nm0487025,actor,Vasiliy Lanovoy
nm0950881,actor,Georgiy Yumatov
nm0314048,actor,Evgeniy Gerasimov
nm0229415,actor,Mariusz Dmochowski
nm0331724,actor,Vladimir Gostyukhin
nm0634159,actor,Philippe Noiret
nm0001800,actor,Rip Torn
nm0000459,actor,Timothy Hutton
nm0793726,actor,Masami Shimojô
nm0535332,actor,Gin Maeda
nm0718829,actor,Miguel Rellán
nm0000454,actor,Dennis Hopper
nm0669813,actor,Franciszek Pieczka
nm0761420,actor,Otto Sander
nm0597517,actor,Dan Monahan
nm0524230,actor,Luís Lucas
nm0246822,actor,Diogo Dória
nm0892358,actor,Carles Velat
nm0529645,actor,Philippe Léotard
nm0119725,actor,István Bujtor
nm0449431,actor,András Kern
nm0126559,actor,László Bánhidi
nm0361570,actor,Jaromír Hanzlík
nm0000134,actor,Robert De Niro
nm0000582,actor,Joe Pesci
nm0898634,actor,Frank Vincent
nm0129590,actor,Arturo Calderón
nm0562583,actor,Héctor Mayerston
nm0352278,actor,Matthias Habich
nm0001445,actor,Martin Landau
nm0873385,actor,Massimo Troisi
nm0034253,actor,Lello Arena
nm0467478,actor,Petr Kostka
nm0000608,actor,Burt Reynolds
nm0000057,actor,David Niven
nm0001662,actor,Judge Reinhold
nm0646037,actor,Daniel Olbrychski
nm0631102,actor,Leon Niemczyk
nm0196181,actor,Pepe Da Rosa
nm0304227,actor,Paco Gandía
nm0034390,actor,Niels Arestrup
nm0702666,actor,Ching Wong
nm0152054,actor,Roy Chiao
nm0950707,actor,Biao Yuen
nm0000197,actor,Jack Nicholson
nm0793731,actor,Shirô Shimomoto
nm0868139,actor,Pierre Tornade
nm0256387,actor,Michael Emil
nm0001276,actor,Jackie Gleason
nm0715274,actor,Jerry Reed
nm0001659,actor,Christopher Reeve
nm0694843,actor,Renato Pozzetto
nm0001638,actor,Jürgen Prochnow
nm0464710,actor,Boris Komnenic
nm0434330,actor,Erol Kadic
nm0324698,actor,Ignacy Gogolewski
nm0002231,actor,Gian Maria Volontè
nm0000698,actor,Gene Wilder
nm0515030,actor,Wai-Hung Liu
nm0706883,actor,Steve Railsback
nm0000432,actor,Gene Hackman
nm0718759,actor,Winston Rekert
nm0351576,actor,Ernst Günther
nm0959717,actor,Lasse Åberg
nm0804605,actor,Jon Skolmen
nm0655330,actor,Richard Pacheco
nm0415556,actor,Jagdeep
nm0080445,actor,Bharat Bhushan
nm0151539,actor,Chandrashekhar
nm0002094,actor,Vittorio Gassman
nm0379678,actor,Rafael Hernández
nm0000125,actor,Sean Connery
nm0000092,actor,John Cleese
nm0009368,actor,Josef Abrhám
nm0000493,actor,Jack Lemmon
nm0361757,actor,Yoshio Harada
nm0549457,actor,Akaji Maro
nm0581103,actor,Mario Merola
nm0664218,actor,Spede Pasanen
nm0517978,actor,Vesa-Matti Loiri
nm0758741,actor,Simo Salminen
nm0455797,actor,Heikki Kinnunen
nm0911542,actor,Fred Ward
nm0487022,actor,Victor Lanoux
nm0099084,actor,Patrick Bouchitey
nm0487254,actor,Gérard Lanvin
nm0079916,actor,Hermann Beyer
nm0000587,actor,Donald Pleasence
nm0297450,actor,Miguel Ángel Fuentes
nm0001494,actor,Ralph Macchio
nm0000237,actor,John Travolta
nm0000621,actor,Kurt Russell
nm0912001,actor,Jack Warden
nm0574433,actor,Frank McRae
nm0407720,actor,Viktor Ilichyov
nm0493724,actor,Aleksandr Lazarev
nm0720277,actor,Antonio Resines
nm0232504,actor,Tung-Shing Yee
nm0713999,actor,Alfonso del Real
nm0001409,actor,Tchéky Karyo
nm0547339,actor,Jean-Pierre Marielle
nm0006664,actor,Zdenek Sverák
nm0224441,actor,Mircea Diaconu
nm0682726,actor,Florin Piersic
nm0001902,actor,Edward Albert
nm0001545,actor,Dudley Moore
nm0836136,actor,Jerzy Stuhr
nm0944134,actor,Wojciech Wysocki
nm0066133,actor,Aleksander Bednarz
nm0790925,actor,Dean Shek
nm0155582,actor,Ka-Sang Cheng
nm0156506,actor,Kwok-Keung Cheung
nm0526695,actor,Fong Lung
nm0150894,actor,Frankie Chan
nm0708790,actor,Santiago Ramos
nm0480587,actor,Óscar Ladoire
nm0637434,actor,Jan Nowicki
nm0000393,actor,Peter Falk
nm0949350,actor,Burt Young
nm0244296,actor,Lev Durov
nm0151068,actor,Philip Chan
nm0235551,actor,Juan Dover
nm0145914,actor,Paco Catalá
nm0012294,actor,Joop Admiraal
nm0395121,actor,Mike Horner
nm0798827,actor,Joey Silvera
nm0151755,actor,Kuo-Chu Chang
nm0156875,actor,Charlie Chin
nm0529543,actor,Jean-Pierre Léaud
nm0299201,actor,Masato Furuoya
nm0690610,actor,Gabriel Pontello
nm0074151,actor,Dany Berger
nm0508293,actor,Thierry Lhermitte
nm0946179,actor,Jean Yanne
nm0903901,actor,Yorgo Voyagis
nm0116091,actor,Philippe Bruneau
nm0001418,actor,David Keith
nm0244707,actor,André Dussollier
nm0040545,actor,Féodor Atkine
nm0405695,actor,Paul Hébert
nm0217880,actor,Xavier Deluc
nm0089882,actor,Graeme Blundell
nm0456093,actor,Raj Kiran
nm0961039,actor,Raymond van Haaf
nm0472941,actor,Jan Kruyk
nm0960828,actor,Dik van Dodewaard
nm0176161,actor,Hub Consten
nm0408476,actor,Rafael Inclán
nm0830293,actor,Jack Wrangler
nm0300565,actor,Antonio Gades
nm0422981,actor,Juan Antonio Jiménez
nm0001101,actor,Ted Danson
nm0847812,actor,Henryk Talar
nm0303437,actor,Venchito Galvez
nm0759252,actor,Phillip Salvador
nm0511703,actor,Emilio Linder
nm0156460,actor,Chung-Kuei Chang
nm0479753,actor,Marián Labuda
nm0007210,actor,Saul Rubinek
nm0345616,actor,Jerzy Gudejko
nm0597816,actor,Pierre Mondy
nm0104753,actor,David Brandon
nm0097391,actor,Charles Borromel
nm0758066,actor,Enrico Maria Salerno
nm0813691,actor,Miguel Ángel Solá
nm0524093,actor,Carlos Lucas
nm0885474,actor,Máximo Valverde
nm0510436,actor,Ramón Lillo
nm0195293,actor,Nino D'Angelo
nm0188021,actor,Lino Crispo
nm0874868,actor,Yin Tse
nm0368745,actor,Richard Hatch
nm0787582,actor,Farooq Shaikh
nm0006762,actor,Saeed Jaffrey
nm0066075,actor,Rakesh Bedi
nm0598971,actor,Yves Montand
nm0150862,actor,Dennis Chan
nm0398801,actor,Chun-Hsiung Ko
nm0029177,actor,Bert André
nm0091336,actor,Theu Boermans
nm0031026,actor,Tony Anthony
nm0704164,actor,Gene Quintano
nm0025630,actor,Vikas Anand
nm0000216,actor,Arnold Schwarzenegger
nm0000469,actor,James Earl Jones
nm0147167,actor,Gianni Cavina
nm0412313,actor,Rick Iverson
nm0320808,actor,Bernard Giraudeau
nm0072768,actor,Fabrizio Bentivoglio
nm0130271,actor,Lun Chia
nm0000448,actor,Lance Henriksen
nm0714287,actor,Victor Rebengiuc
nm0614526,actor,Michael Murphy
nm0794890,actor,Dan Shor
nm0002989,actor,Andrew Stevens
nm0001835,actor,Carl Weathers
nm0350350,actor,Michael Gwisdek
nm0092184,actor,Richard Bohringer
nm0000438,actor,Ed Harris
nm0464945,actor,Marek Kondrat
nm0272295,actor,Adam Ferency
nm0392250,actor,Gustaw Holoubek
nm0175060,actor,Christopher Connelly
nm0644523,actor,Ken Ogata
nm0352032,actor,Kamal Haasan
nm0693625,actor,Julien Poulin
nm0265853,actor,Pierre Falardeau
nm0000308,actor,Ernest Borgnine
nm0745780,actor,Richard Roundtree
nm0000249,actor,James Woods
nm0784884,actor,Rade Serbedzija
nm0511277,actor,Boguslaw Linda
nm0000554,actor,Sam Neill
nm0246728,actor,Ricardo Díaz
nm0636280,actor,Richard Norton
nm0582773,actor,Jim Metzler
nm0057825,actor,Mário Barroso
nm0863146,actor,Vyacheslav Tikhonov
nm0252473,actor,Gösta Ekman
nm0000154,actor,Mel Gibson
nm0449652,actor,Bill Kerr
nm0296389,actor,Piotr Fronczewski
nm0000362,actor,Danny DeVito
nm0359894,actor,Roger Hanin
nm0006939,actor,Richard Berry
nm0001345,actor,Jim Henson
nm0000568,actor,Frank Oz
nm0324397,actor,Dave Goelz
nm0921713,actor,Rolv Wesenlund
nm0089877,actor,Øivind Blunck
nm0000579,actor,Ron Perlman
nm0482614,actor,George Lam
nm0477108,actor,Teddy Robin Kwan
nm0538353,actor,Karl Maka
nm0515697,actor,Adolfo Llauradó
nm0001642,actor,Randy Quaid
nm0280886,actor,Joe Flaherty
nm0000961,actor,Timothy Bottoms
nm0904093,actor,Dolf de Vries
nm0441955,actor,Yftach Katzur
nm0755974,actor,Jonathan Sagall
nm0814773,actor,Alberto Sordi
nm0473162,actor,Pavel Kríz
nm0560727,actor,David Matásek
nm0752591,actor,James Ryan
nm0689430,actor,Mario Pollak
nm0000502,actor,Christopher Lloyd
nm0062353,actor,Franz Baumgartner
nm0294680,actor,Gunter Freyse
nm0316284,actor,Giancarlo Giannini
nm0865396,actor,Marko Todorovic
nm0815537,actor,Hugo Soto
nm0029860,actor,Rafael Anglada
nm0000090,actor,Armin Mueller-Stahl
nm0628827,actor,Richard Ng
nm0636893,actor,Mel Novak
nm0156497,actor,Kam Cheung
nm0389109,actor,Thom Hoffman
nm0003508,actor,Michel Blanc
nm0817748,actor,Bruce Spence
nm0898317,actor,Jacques Villeret
nm0014227,actor,Sung-Ki Ahn
