Source,Target,Weight
nm0001454,nm0552086,2
nm0001454,nm0717212,2
nm0001472,nm0156484,2
nm0001472,nm0157785,2
nm0001472,nm0161275,2
nm0001472,nm0874865,2
nm0001472,nm0944578,2
nm0001494,nm0001552,3
nm0001505,nm0426666,2
nm0001522,nm0706619,2
nm0001525,nm0091899,2
nm0001588,nm0053519,2
nm0001588,nm0827663,2
nm0001595,nm0001914,2
nm0001595,nm0223738,2
nm0001595,nm0236711,2
nm0001595,nm0336797,2
nm0001595,nm0491005,2
nm0001598,nm0187790,2
nm0001598,nm0826243,3
nm0001602,nm0001698,2
nm0001617,nm0191997,2
nm0001638,nm0118268,2
nm0001650,nm0180984,3
nm0001657,nm0001816,2
nm0001657,nm0007042,2
nm0001659,nm0178114,2
nm0001674,nm0005300,2
nm0001709,nm0473166,2
nm0001738,nm0435218,2
nm0001745,nm0030153,2
nm0001759,nm0516215,2
nm0001765,nm0001777,2
nm0001812,nm0172484,2
nm0001815,nm0126093,2
nm0001816,nm0007042,2
nm0001831,nm0005202,2
nm0001831,nm0722636,2
nm0001835,nm0949350,2
nm0001866,nm0076523,2
nm0001866,nm0951420,2
nm0001902,nm0706883,2
nm0001902,nm0729473,2
nm0001917,nm0350884,2
nm0001934,nm0004570,2
nm0001993,nm0468003,2
nm0001999,nm0343472,2
nm0002000,nm0150774,2
nm0002000,nm0150850,2
nm0002000,nm0158605,2
nm0002000,nm0160846,2
nm0002000,nm0401207,2
nm0002000,nm0490489,2
nm0002000,nm0490513,2
nm0002000,nm0504897,3
nm0002000,nm0504899,2
nm0002000,nm0862479,2
nm0002002,nm0644523,2
nm0002002,nm0760796,3
nm0002010,nm0116091,2
nm0002010,nm0451828,2
nm0002018,nm0316284,2
nm0002037,nm0212921,2
nm0002073,nm0364490,2
nm0002094,nm0316284,3
nm0002157,nm0062353,7
nm0002157,nm0081547,6
nm0002157,nm0117632,2
nm0002157,nm0294680,2
nm0002181,nm0704719,2
nm0002181,nm0720277,2
nm0002181,nm0884581,2
nm0002231,nm0266890,2
nm0002239,nm0072934,2
nm0002239,nm0206528,2
nm0002396,nm0111926,3
nm0002396,nm0261724,2
nm0002396,nm0413470,3
nm0002396,nm0453571,2
nm0002396,nm0821734,2
nm0002396,nm0835144,3
nm0002743,nm0002989,2
nm0002989,nm0461109,2
nm0002989,nm0893181,2
nm0003501,nm0010799,2
nm0003501,nm0040173,2
nm0003501,nm0249982,2
nm0003501,nm0279366,2
nm0003501,nm0395121,2
nm0003501,nm0449404,2
nm0003501,nm0504126,2
nm0003508,nm0634159,2
nm0003508,nm0688497,2
nm0003508,nm0898317,2
nm0003612,nm0156434,3
nm0003612,nm0490513,3
nm0003612,nm0497097,2
nm0003612,nm0498429,2
nm0004109,nm0006763,2
nm0004109,nm0007106,3
nm0004109,nm0051091,2
nm0004109,nm0149822,3
nm0004109,nm0159159,3
nm0004109,nm0332871,2
nm0004109,nm0451148,2
nm0004109,nm0643350,2
nm0004109,nm0846681,2
nm0004149,nm0004365,4
nm0004149,nm0339888,3
nm0004149,nm0363615,3
nm0004365,nm0082653,2
nm0004365,nm0175060,2
nm0004365,nm0320180,2
nm0004365,nm0339888,2
nm0004365,nm0689057,2
nm0004365,nm0745780,2
nm0004429,nm0004570,4
nm0004429,nm0006369,3
nm0004429,nm0149822,4
nm0004429,nm0159159,2
nm0004429,nm0420090,2
nm0004429,nm0451396,2
nm0004433,nm0006763,2
nm0004433,nm0451600,3
nm0004434,nm0004570,3
nm0004434,nm0044796,2
nm0004434,nm0451425,2
nm0004434,nm0456093,2
nm0004434,nm0700875,2
nm0004434,nm0802374,2
nm0004462,nm0006939,2
nm0004462,nm0105475,3
nm0004462,nm0108400,2
nm0004462,nm0440913,2
nm0004462,nm0734000,2
nm0004462,nm0822004,2
nm0004462,nm0933727,3
nm0004486,nm0761420,2
nm0004569,nm0451396,2
nm0004569,nm0451600,2
nm0004569,nm0707425,2
nm0004569,nm0712546,2
nm0004570,nm0006369,2
nm0004570,nm0007106,2
nm0004570,nm0149822,2
nm0004570,nm0310173,3
nm0004570,nm0417714,2
nm0004570,nm0451396,2
nm0004570,nm0534501,3
nm0004570,nm0802374,2
nm0004625,nm0138405,2
nm0004821,nm0788829,2
nm0005019,nm0369567,2
nm0005033,nm0150796,2
nm0005033,nm0150894,2
nm0005033,nm0151005,2
nm0005033,nm0155582,2
nm0005033,nm0156434,2
