Id,Label
nm0765022,Fernand Sardou
nm0529543,Jean-Pierre Léaud
nm0904531,Murvyn Vye
nm0002116,Paul Guilfoyle
nm0000009,Richard Burton
nm0007217,Jack Carson
nm0004464,Heinz Rühmann
nm0822403,Ernst Stankovski
nm0616211,Franz Muxeneder
nm0002001,Maurice Chevalier
nm0001260,John Gavin
nm0389176,Gert Günther Hoffmann
nm0251967,Abraham Eisenberg
nm0957612,Uri Zohar
nm0547339,Jean-Pierre Marielle
nm0483812,Robert Lamoureux
nm0018093,Christian Alers
nm0840788,José Suárez
nm0001884,Max von Sydow
nm0679500,Günter Pfitzmann
nm0936295,Norman Wisdom
nm0402842,Ian Hunter
nm0517084,David Lodge
nm0882048,Robert Urquhart
nm0660946,Luis Alberto del Paraná
nm0046439,Ernesto Baez
nm0320942,Ennio Girolami
nm0187584,Pierre Cressoy
nm0431725,Manuel de Juan
nm0596639,Antonio Molina
nm0267468,Rafael Farina
nm0959672,Enrique Ávila
nm0133547,Ricardo Canales
nm0288031,Ron Foster
nm0570205,Harp McGuire
nm0996179,John Maxwell
nm0000069,Frank Sinatra
nm0431139,Louis Jourdan
nm0549737,Domingos Marques
nm0954682,Otelo Zeloni
nm0763941,Manuel Santos Carvalho
nm0616308,Santanón
nm0604032,José Elías Moreno
nm0544786,Jean Marais
nm0056768,Gérard Barray
nm0308523,Riccardo Garrone
nm0100186,Bourvil
nm0850236,Nino Taranto
nm0485060,Gérard Landry
nm0212121,Pietro De Vico
nm0097625,Jean-Marc Bory
nm0416228,Sidney James
nm0931054,Kenneth Williams
nm0054879,Eric Barker
nm0175427,Kenneth Connor
nm0870362,Fausto Tozzi
nm0272794,Fernandel
nm0933447,Georges Wilson
nm0102566,Marcel Bozzuffi
nm0723623,Claude Rich
nm0221107,Georges Descrières
nm0925713,O.Z. Whitehead
nm0177879,Ben Cooper
nm0569951,Michael McGreevey
nm0244870,Guru Dutt
nm0716839,Rehman
nm0001128,Alain Delon
nm0004292,Raj Kapoor
nm0695199,Pran
nm0869451,Totò
nm0862904,Aroldo Tieri
nm0208372,Luigi De Filippo
nm0176061,Eddie Constantine
nm0670964,Raymond Pellegrin
nm0235367,Georges Douking
nm0465471,Vitaliy Konyaev
nm0276910,Jardel Filho
nm0267403,Reginaldo Faria
nm0368913,Pedro Paulo Hatheyer
nm0223331,William Dexter
nm0001229,Glenn Ford
nm0640023,Arthur O'Connell
nm0943956,Ed Wynn
nm0798328,Henry Silva
nm0226446,Anton Diffring
nm0465716,Milos Kopecký
nm0521471,Dennis Lotis
nm0000489,Christopher Lee
nm0623306,Tom Naylor
nm0619227,Hiroyuki Nagato
nm0643898,Yûji Odaka
nm0957915,Tomás Zori
nm0764077,Fernando Santos
nm0168482,Manolo Codeso
nm0691675,Pedro Porcel
nm0004462,Jean-Louis Trintignant
nm0264211,Marc Eyraud
nm0761525,Dirk Sanders
nm0006752,Steve Allen
nm0934595,Walter Winchell
nm0004433,Shammi Kapoor
nm0695170,Om Prakash
nm0112203,Rand Brooks
nm0000068,Randolph Scott
nm0015391,Claude Akins
nm0392945,Skip Homeier
nm0751802,Richard Rust
nm0397580,Ronald Howard
nm0300237,John Gabriel
nm0789935,Richard Shaw
nm0470149,Peter Kraus
nm0343511,Walter Gross
nm0507708,Ronald Lewis
nm0350868,Manolo Gómez Bur
nm0000080,Orson Welles
nm0226947,Bradford Dillman
nm0461594,Alexander Knox
nm0718828,Rellys
nm0350764,René Génin
nm0814773,Alberto Sordi
nm0002094,Vittorio Gassman
nm0048939,Stanley Baker
