Id,Label
nm0857776,Jean-Marc Thibault
nm0260520,Leny Escudéro
nm0435726,Jean-Pierre Kalfon
nm0019330,Francisco Algora
nm0900393,José Vivó
nm0388367,Hoi Mang
nm0157304,Yuet-Sang Chin
nm0526694,Fei Lung
nm0848796,Takahiro Tamura
nm0851300,Ryutaro Tatsumi
nm0137728,José Carlos Ruiz
nm0736035,Milton Rodríguez
nm0464857,Gábor Koncz
nm0642924,István O. Szabó
nm0432098,Jácint Juhász
nm0656367,Tony Page
nm0785435,Raymond Serra
nm0752922,Eldar Ryazanov
nm0463805,Mikhail Kokshenov
nm0826005,Sigfrit Steiner
nm0127280,Paul Bühlmann
nm0617387,Otto Mächtlinger
nm0679466,Jörg Pfennigwerth
nm0830439,Kiev Stingl
nm0121007,Eric Burdon
nm0542721,Dieter Mann
nm0062479,Peter Bause
nm0336198,Robert Gravel
nm0558853,Jean Mathieu
nm0796449,Gilbert Sicotte
nm0953400,Manuel Zarzo
nm0273888,Antonio Ferrandis
nm0407142,Pompín Iglesias
nm0017822,Arturo Alegro
nm0002662,Orestes Matacena
nm0383090,Raimundo Hidalgo-Gato
nm0000901,Jean-Paul Belmondo
nm0350196,Georges Géret
nm0001258,James Garner
nm0312432,Kornél Gelley
nm0001428,Klaus Kinski
nm0577616,Patrice Melennec
nm0000018,Kirk Douglas
nm0000172,Harvey Keitel
nm0084042,Ed Bishop
nm0794060,Kaneto Shiozawa
nm0960022,Hiroshi Ôtake
nm0874248,Valentín Trujillo
nm0066838,Ferenc Begányi
nm0042800,István Avar
nm0091072,Gyula Bodrogi
nm0390805,Walter Olkewicz
nm0356792,Hans Peter Hallwachs
nm0873223,Heinz Trixner
nm0269077,James Faulkner
nm0051880,Lino Banfi
nm0899911,Alvaro Vitali
nm0312156,Marco Gelardini
nm0927521,Kees Wientjes
nm0673081,Augustin Pereira
nm0145954,Carlos Catania
nm0145207,Óscar Castillo
nm0671831,Peng Tien
nm0387385,Ho Tien
nm0875416,Hua Tsung
nm0262137,Jun Etô
nm0871745,Michael Tregor
nm0248937,Alfred Edel
nm0843661,Sándor Szabó
nm0726092,Bernd Riedel
nm0769427,René Schaaf
nm0293730,Juergen Frei
nm0921840,Rudolf Wessely
nm0386518,Ludwig Hirsch
nm0844179,Stefan Szmidt
nm0954674,Jerzy Zelnik
nm0744636,Mihály Rostás
nm0126549,János Bán
nm0579954,Jirí Menzel
nm0843648,Lajos Szabó
nm0373830,Sascha Hehn
nm0197040,Klaus Dahlen
nm0610785,Mu Bai
nm0155649,Zhi Cheng
nm0701633,Antal Páger
nm0045872,Ferenc Bács
nm0472166,Jozef Kroner
nm0770763,August Schellenberg
nm0315362,Avetik Gevorkyan
nm0009283,Khoren Abrahamyan
nm0246150,Armen Dzhigarkhanyan
nm0000009,Richard Burton
nm0165551,Nicholas Clay
nm0159258,Cyril Cusack
nm0674742,Jacques Perrin
nm0539399,Laurent Malet
nm0889005,Pierre Vaneck
nm0159037,Elton Chong
nm0359154,Eagle Han
nm0000329,Jackie Chan
nm0911093,Jimmy Wang Yu
nm0839003,Yueh Sun
nm0147875,José Antonio Ceinos
nm0755364,José Sacristán
nm0608180,Paco Morán
nm0028005,Paulino Andrada
nm0000778,Alfonso Arau
nm0198852,Pedro Damián
nm0593848,James Mitchum
nm0001017,John Carradine
nm0137023,Philip Carey
nm0252111,Anthony Eisley
nm0060692,Aleksey Batalov
nm0268945,Aleksandr Fatyushin
nm0615511,Lautaro Murúa
nm0534764,Rui Madeira
nm0104422,Óscar Branco
nm0136661,Júlio Cardoso
nm0404173,Péter Huszti
nm0477579,György Kálmán
nm0196327,Mario Da Vinci
nm0196328,Sal Da Vinci
nm0154110,Anil Chatterjee
nm0611571,Sunil Mukherjee
nm0219342,Charles Denner
nm0031511,Omero Antonutti
nm0845867,Oleg Tabakov
nm0091598,Yuriy Bogatyryov
nm0691324,Andrei Popov
nm0247642,George Eastman
nm0788325,Mark Shannon
nm0883850,Ramón Valdés
nm0815489,Armando Soto La Marina
nm0749826,José René Ruiz
nm0560628,Evgeniy Matveev
nm0473041,Nikolay Kryuchkov
nm0040910,Kiyoshi Atsumi
nm0559581,Tatsuo Matsumura
nm0623158,Oldrich Navrátil
nm0060002,Vladimir Basov
nm0122050,Georgiy Burkov
nm0124390,Narciso Busquets
nm0817881,Bud Spencer
nm0197490,Baldwyn Dakile
nm0408636,Angelo Infanti
nm0731772,Cliff Robertson
nm0176586,Frank Converse
nm0642675,Milo O'Shea
nm0148315,Ramón Centenero
nm0082761,Jerzy Binczycki
nm0676127,Jan Peszek
nm0440341,Yuriy Kayurov
nm0835470,Vladislav Strzhelchik
nm0945085,Yuriy Yakovlev
nm0030332,Nikolai Annenkov
nm0580992,Maurizio Merli
nm0105973,Arthur Brauss
nm0704719,Francisco Rabal
nm0342458,Nikolay Grinko
nm0613364,Maksim Munzuk
nm0694772,Vladimir Pozhidayev
nm0691350,Sergei Popov
nm0955535,Aleksey Zharkov
nm0681566,Michel Piccoli
nm0922229,Martin West
nm0004429,Dharmendra
nm0159159,Prem Chopra
nm0813199,Antonino Solmer
nm0195323,António Cara D'Anjo
nm0180569,Sergio Corona
nm0670765,Luis Manuel Pelayo
nm0147983,Adriano Celentano
nm0598720,Renzo Montagnani
nm0006573,Philippe Leroy
nm0567135,Ian McCulloch
nm0641933,Peter O'Neal
nm0765898,Djago Sasongko
nm0350884,Ernesto Gómez Cruz
nm0676951,Stewart Petersen
nm0114439,Philip Brown
nm0150170,Jeff Chamberlain
nm0552483,Jean Martin
nm0563695,Pascal Mazzotti
nm0124482,Raymond Bussières
nm0420628,Rudolf Jelínek
nm0102633,Vladimír Brabec
nm0011553,Jirí Adamíra
nm0008311,Aleksandr Abdulov
nm0893872,Carlo Verdone
nm0769237,Renato Scarpa
nm0103828,Mario Brega
nm0620638,Hernando Name
nm0554959,Adalberto Martínez
nm0273705,Pedro Fernández
nm0647103,Ramiro Oliveros
nm0244850,Jacques Dutronc
nm0025445,Roland Amstutz
nm0172578,Noel Collins
nm0028674,Harry Andrews
nm0120986,Mark Burdis
nm0145284,John Castle
nm0153120,Paul Charles
nm0684132,Ping An
nm0151005,Lung Chan
nm0151080,Sing Chen
nm0004468,J.V. Somayajulu
nm0707972,Allu Ramalingaiah
nm0001472,Jet Li
nm0950494,Hai Yu
nm0401214,Chenghui Yu
nm0155631,Tien-Chi Cheng
nm0438071,Phillip Ko
nm0628792,Kun-Lung Wu
nm0025546,Hark-On Fung
nm0477231,Phillip Chung-Fung Kwok
nm0129514,David Calderisi
nm0369818,Thom Haverstock
nm0485669,Alexander Lang
nm0598705,Dieter Montag
nm0901319,Aleksandr Vokach
nm0314210,Zinoviy Gerdt
nm0065427,Hartmut Becker
nm0903110,Friedrich von Thun
nm0787462,Naseeruddin Shah
nm0324843,Mohan Gokhale
nm0913099,David Warrilow
nm0891381,Ron Vawter
nm0713209,Bill Raymond
nm0249982,Eric Edwards
nm0129004,Roger Caine
nm0028812,Peter Andrews
nm0160545,David Christopher
nm0748430,Dave Ruby
nm0102522,Petar Bozovic
nm0000080,Orson Welles
nm0001510,Strother Martin
nm0000367,Gérard Depardieu
nm0090679,Roland Bock
nm0853732,Gianrico Tedeschi
nm0237454,W.P. Dremak
nm0922301,Randy West
nm0399646,Ron Hudd
nm0823174,Graham Stark
nm0799014,Phil Silvers
nm0000537,Steve McQueen
nm0002070,Richard Farnsworth
nm0124100,Billy Green Bush
nm0491275,Rémi Laurent
nm0844435,László Szabó
nm0616556,Andrey Myagkov
nm0792937,Vladimir Shevelkov
