Source,Target,Label,Weight
nm0583600,nm0796124,tt0081375,9
nm0337008,nm0528420,tt0081383,3
nm0069118,nm0097424,tt0081394,3
nm0069118,nm0700206,tt0081394,3
nm0000134,nm0000582,tt0081398,3
nm0000134,nm0000217,tt0081398,5
nm0000217,nm0000582,tt0081398,3
nm0003117,nm0923646,tt0081421,5
nm0582074,nm0873385,tt0081427,3
nm0667657,nm0873385,tt0081427,5
nm0582074,nm0667657,tt0081427,3
nm0491290,nm0899911,tt0081429,3
nm0062539,nm0304227,tt0081469,3
nm0000821,nm0802693,tt0081491,3
nm0451311,nm0802693,tt0081491,3
nm0369136,nm0514904,tt0081494,4
nm0514904,nm0514906,tt0081494,5
nm0393250,nm0514904,tt0081494,3
nm0369136,nm0393250,tt0081494,3
nm0393250,nm0514906,tt0081494,4
nm0000329,nm0950707,tt0081499,4
nm0438071,nm0910979,tt0081502,3
nm0160925,nm0438071,tt0081502,3
nm0632803,nm0847109,tt0081508,3
nm0853456,nm0868139,tt0081513,4
nm0001238,nm0337167,tt0081519,6
nm0001238,nm0211381,tt0081519,3
nm0256387,nm0415617,tt0081522,4
nm0000608,nm0001123,tt0081529,5
nm0000608,nm0624102,tt0081529,4
nm0000608,nm0946717,tt0081529,3
nm0001123,nm0624102,tt0081529,3
nm0001123,nm0946717,tt0081529,3
nm0624102,nm0946717,tt0081529,3
nm0000809,nm0436687,tt0081541,3
nm0264686,nm0956022,tt0081541,5
nm0436687,nm0956022,tt0081541,12
nm0264686,nm0436687,tt0081541,5
nm0000682,nm0812121,tt0081547,3
nm0000698,nm0001640,tt0081562,3
nm0001659,nm0796950,tt0081573,3
nm0001659,nm0795975,tt0081573,3
nm0795975,nm0796950,tt0081573,3
nm0804605,nm0959717,tt0081590,4
nm0429647,nm0959717,tt0081590,4
nm0429647,nm0804605,tt0081590,4
nm0408488,nm0865575,tt0081591,4
nm0408488,nm0728271,tt0081591,3
nm0828540,nm0855872,tt0081593,3
nm0504126,nm0655330,tt0081596,3
nm0504126,nm0818881,tt0081596,3
nm0068871,nm0655330,tt0081596,3
nm0655330,nm0818881,tt0081596,3
nm0068871,nm0818881,tt0081596,4
nm0407990,nm0814281,tt0081607,6
nm0022331,nm0622643,tt0081609,4
nm0000052,nm0778633,tt0081616,5
nm0769249,nm0778633,tt0081616,5
nm0109519,nm0781586,tt0081620,4
nm0596130,nm0795430,tt0081624,3
nm0000092,nm0000416,tt0081633,3
nm0000092,nm0001589,tt0081633,5
nm0000416,nm0001589,tt0081633,3
nm0009368,nm0810602,tt0081655,3
nm0006664,nm0009368,tt0081655,3
nm0006664,nm0810602,tt0081655,5
nm0001128,nm0541389,tt0081658,3
nm0001128,nm0290877,tt0081658,3
nm0840671,nm0849099,tt0081662,3
nm0107664,nm0581103,tt0081663,7
nm0581103,nm0716701,tt0081663,4
nm0107664,nm0716701,tt0081663,5
nm0445630,nm0445631,tt0081664,4
nm0517978,nm0664218,tt0081665,16
nm0664218,nm0758741,tt0081665,9
nm0455797,nm0664218,tt0081665,3
nm0517978,nm0758741,tt0081665,8
nm0005033,nm0849282,tt0081669,4
nm0105475,nm0187337,tt0081684,3
nm0851724,nm0851725,tt0081686,6
nm0665305,nm0850695,tt0081695,3
nm0000709,nm0301826,tt0081698,6
nm0442454,nm0442455,tt0081701,5
nm0053870,nm0682726,tt0081743,3
nm0053870,nm0622020,tt0081743,3
nm0048060,nm0518591,tt0081767,3
nm0005033,nm0538353,tt0081780,3
nm0538353,nm0790925,tt0081780,6
nm0151155,nm0862479,tt0081789,3
nm0261681,nm0657004,tt0081790,7
nm0150894,nm0938944,tt0081804,6
nm0051880,nm0694843,tt0081807,4
nm0144689,nm0694843,tt0081807,6
nm0595063,nm0694843,tt0081807,6
nm0051880,nm0144689,tt0081807,4
nm0051880,nm0595063,tt0081807,4
nm0127403,nm0714002,tt0081812,3
nm0480587,nm0720277,tt0081820,4
nm0480587,nm0874096,tt0081820,3
nm0720277,nm0874096,tt0081820,3
nm0617767,nm0637434,tt0081821,7
nm0057398,nm0611848,tt0081964,4
nm0155587,nm0515030,tt0081970,5
nm0155587,nm0492368,tt0081970,6
nm0492368,nm0628838,tt0081970,3
nm0145914,nm0665057,tt0081972,4
nm0001628,nm0713128,tt0081974,5
nm0395121,nm0798827,tt0081979,3
nm0249892,nm0395121,tt0081979,3
nm0249892,nm0798827,tt0081979,4
nm0150958,nm0848376,tt0081992,3
nm0074151,nm0690610,tt0081999,3
nm0501471,nm0690610,tt0081999,4
nm0000432,nm0000598,tt0082001,3
nm0000465,nm0003501,tt0082004,3
nm0002010,nm0483776,tt0082041,4
nm0292500,nm0841247,tt0082044,5
nm0024589,nm0817881,tt0082045,4
nm0179278,nm0817881,tt0082045,4
nm0176161,nm0472941,tt0082076,3
nm0472941,nm0511608,tt0082076,3
nm0176161,nm0511608,tt0082076,3
nm0159201,nm0232504,tt0082079,5
nm0402434,nm0669192,tt0082084,3
nm0300565,nm0767022,tt0082088,3
nm0000458,nm0001410,tt0082089,4
nm0110653,nm0759252,tt0082093,6
nm0684509,nm0860019,tt0082100,4
nm0000493,nm0000527,tt0082111,6
nm0117868,nm0503053,tt0082115,4
nm0260330,nm0328020,tt0082119,4
nm0093585,nm0134073,tt0082120,5
nm0055634,nm0162343,tt0082122,4
nm0036313,nm0227661,tt0082126,7
nm0001090,nm0097391,tt0082133,3
nm0129201,nm0581103,tt0082139,3
nm0107664,nm0129201,tt0082139,3
nm0129201,nm0716701,tt0082139,6
nm0271974,nm0713999,tt0082142,3
nm0251760,nm0314636,tt0082144,5
nm0195293,nm0335924,tt0082148,3
nm0188021,nm0335924,tt0082148,4
nm0244864,nm0784019,tt0082154,4
nm0399070,nm0939147,tt0082155,4
nm0874868,nm0939147,tt0082155,3
nm0151068,nm0156506,tt0082161,3
nm0000367,nm0006734,tt0082173,3
nm0150862,nm0151068,tt0082178,6
nm0657004,nm0713999,tt0082180,3
nm0261681,nm0713999,tt0082180,4
nm0654839,nm0713999,tt0082180,6
nm0000367,nm0007069,tt0082183,3
nm0007069,nm0891554,tt0082183,3
nm0000367,nm0891554,tt0082183,4
nm0000216,nm0397574,tt0082198,3
nm0051880,nm0895059,tt0082203,3
nm0553941,nm0895059,tt0082203,3
nm0547339,nm0634159,tt0082206,5
nm0634159,nm0851724,tt0082206,3
nm0305054,nm0484376,tt0082210,3
nm0484376,nm0883553,tt0082210,4
nm0305054,nm0883553,tt0082210,7
nm0684596,nm0714287,tt0082241,3
nm0639321,nm0795953,tt0082242,6
nm0614526,nm0794890,tt0082243,3
nm0334457,nm0896131,tt0082247,5
