Id,category,Label,Nationality
nm0299586,director,Zoltán Fábri,Inconnu
nm0765264,writer,Imre Sarkadi,Inconnu
nm0301556,actor,Michel Galabru,Inconnu
nm0724898,writer,Jean-José Richer,Inconnu
nm0312890,actor,Leo Genn,UK
nm0094083,actor,Sergey Bondarchuk,Inconnu
nm0582019,actor,Hannes Messemer,Germany
nm0744023,director,Roberto Rossellini,Inconnu
nm0024847,writer,Sergio Amidei,Inconnu
nm0264420,writer,Diego Fabbri,Inconnu
nm0740021,writer,Brunello Rondi,Inconnu
nm0215703,writer,Mario Del Papa,Inconnu
nm0194742,actor,Arturo de Córdova,Inconnu
nm0649598,actor,Guillermo Orea,Inconnu
nm0327950,director,Rogelio A. González,Inconnu
nm0017274,writer,Luis Alcoriza,Inconnu
nm0532579,writer,Arthur Machen,Inconnu
nm0161672,actor,Marcelo Chávez,Inconnu
nm0673023,writer,Ramón Pereda,Inconnu
nm0273404,actor,Arturo Fernández,Spain
nm0002815,director,Pedro Lazaga,Inconnu
nm0305863,writer,Rafael García Serrano,Inconnu
nm0225128,writer,José Luis Dibildos,Inconnu
nm0607504,actor,Jeff Morrow,Inconnu
nm0743523,actor,Jim Ross,Inconnu
nm0529910,director,Jorge López Portillo,Inconnu
nm0105965,writer,Mortimer Braus,Inconnu
nm0689565,writer,Jack Pollexfen,Inconnu
nm0001088,actor,Peter Cushing,UK
nm0000587,actor,Donald Pleasence,UK
nm0741394,actor,George Rose,Inconnu
nm0319241,director,John Gilling,Inconnu
nm0341707,writer,Leon Griffiths,Inconnu
nm0185883,actor,James Craig,USA
nm0357020,actor,Brett Halsey,USA
nm0390402,director,William J. Hole Jr.,Inconnu
nm0249452,writer,James Edmiston,Inconnu
nm0310120,writer,Dallas Gaultois,Inconnu
nm0368394,actor,O.E. Hasse,Inconnu
nm0517895,actor,Helmuth Lohner,Inconnu
nm0711859,director,Ákos Ráthonyi,Inconnu
nm0445123,writer,Eberhard Keindorff,Inconnu
nm0789737,writer,George Bernard Shaw,Inconnu
nm0796242,writer,Johanna Sibelius,Inconnu
nm0344645,writer,Anatole de Grunwald,Inconnu
nm0000008,actor,Marlon Brando,USA
nm0001486,director,Sidney Lumet,Inconnu
nm0931783,writer,Tennessee Williams,Inconnu
nm0731409,writer,Meade Roberts,Inconnu
nm0208375,actor,Peppino De Filippo,Inconnu
nm0865575,actor,Ugo Tognazzi,Italy
nm0264770,actor,Franco Fabrizi,Inconnu
nm0557840,director,Camillo Mastrocinque,Inconnu
nm0080755,writer,Oreste Biancoli,Inconnu
nm0847823,writer,Vincenzo Talarico,Inconnu
nm0892556,writer,Sergio Velitti,Inconnu
nm0893764,writer,Dino Verde,Inconnu
nm0244849,actor,Paul Guers,Inconnu
nm0239660,actor,Jacques Duby,Inconnu
nm0404021,actor,Olivier Hussenot,Inconnu
nm0201063,director,Frédéric Dard,Inconnu
nm0114140,actor,Lowell Brown,Inconnu
nm0001181,actor,Jack Elam,USA
nm0374268,writer,Jo Heims,Inconnu
nm0077872,actor,Fred Bertelmann,Germany
nm0917076,actor,Peter Weck,Inconnu
nm0220131,director,Hans Deppe,Inconnu
nm0298835,writer,Janne Furch,Inconnu
nm0384768,writer,Werner Hill,Inconnu
nm0874502,actor,Tom Tryon,Inconnu
nm0445650,director,Harry Keller,Inconnu
nm0319663,writer,Frank D. Gilroy,Inconnu
nm0866572,writer,Maurice Tombragel,Inconnu
nm0184781,actor,Darry Cowl,Inconnu
nm0562841,actor,Alfredo Mayo,Inconnu
nm0671559,actor,Julio Peña,Inconnu
nm0684510,director,Jacques Pinoteau,Inconnu
nm0266364,writer,René Fallet,Inconnu
nm0897505,writer,Jacques Vilfrid,Inconnu
nm0704719,actor,Francisco Rabal,Inconnu
nm0953400,actor,Manuel Zarzo,Inconnu
nm0267071,writer,Ramón D. Faraldo,Inconnu
nm0726153,actor,Gerhard Riedmann,Austria
nm0814355,actor,Hans Söhnker,Inconnu
nm0509327,director,Wolfgang Liebeneiner,Inconnu
nm0469122,writer,Heinrich Krackhardt,Inconnu
nm0542063,actor,Nino Manfredi,Inconnu
nm0154804,actor,Andrea Checchi,Inconnu
nm0853732,actor,Gianrico Tedeschi,Inconnu
nm0699750,director,Gianni Puccini,Inconnu
nm0677880,writer,Elio Petri,Inconnu
nm0157057,writer,Tommaso Chiaretti,Inconnu
nm0007098,actor,Paul Hubschmid,Inconnu
nm0721195,actor,Walther Reyer,Inconnu
nm0391485,actor,Claus Holm,Inconnu
nm0000485,director,Fritz Lang,Inconnu
nm0530690,writer,Werner Jörg Lüddecke,Inconnu
nm0902376,writer,Thea von Harbou,Inconnu
nm0395240,actor,Miroslav Hornícek,Czech Republic]
nm0111003,actor,Vlastimil Brodský,Inconnu
nm0688076,director,Zdenek Podskalský,Inconnu
nm0199629,writer,Frantisek Daniel,Inconnu
nm1007428,writer,Milos Václav Kratochvíl,Inconnu
nm0856187,actor,Laurent Terzieff,Inconnu
nm0690597,director,Gillo Pontecorvo,Inconnu
nm0758357,writer,Franco Solinas,Inconnu
nm0147599,writer,Suso Cecchi D'Amico,Inconnu
nm0752297,actor,Martin Ruzek,Inconnu
nm0753590,actor,Vladimír Ráz,Czechoslovakia
nm0223384,actor,Rudolf Deyl,Inconnu
nm0162272,director,Miroslav Cikán,Inconnu
nm0107010,writer,Bohumil Brejcha,Inconnu
nm0587806,director,David Millin,Inconnu
nm0370144,actor,Jack Hawkins,Inconnu
nm0665902,actor,Nigel Patrick,Inconnu
nm0515193,actor,Roger Livesey,Inconnu
nm0000277,actor,Richard Attenborough,UK
nm0213136,director,Basil Dearden,Inconnu
nm0092675,writer,John Boland,Inconnu
nm0285302,writer,Bryan Forbes,Inconnu
nm0297258,actor,Matthias Fuchs,Inconnu
nm0857941,director,Rolf Thiele,Inconnu
nm0633432,writer,Barbara Noack,Inconnu
nm0902860,writer,Gregor von Rezzori,Inconnu
nm0581042,actor,Ismael Merlo,Spain
nm0317856,director,Rafael Gil,Inconnu
nm0289373,writer,Agustín de Foxá,Inconnu
nm0133257,actor,José Campos,Spain
nm0171534,writer,José Luis Colina,Inconnu
nm0378807,actor,Leszek Herdegen,Inconnu
nm0691715,director,Bohdan Poreba,Inconnu
nm0073214,writer,Ryszard Ber,Inconnu
nm0106653,actor,Eduard Bredun,Ukraine]
nm0819274,director,Sergei Sploshnov,Inconnu
nm0073665,writer,Mikhail Berezko,Inconnu
nm0726546,actor,George Rigaud,Inconnu
nm0042900,actor,Jaime Avellán,Inconnu
nm0523484,actor,Javier Loyola,Inconnu
nm0380565,director,Miguel Herrero,Inconnu
nm0057449,writer,Antonio Barrilado,Inconnu
nm0127585,writer,Virgilio Cabello,Inconnu
nm0555494,actor,Jaroslav Marvan,Austria-Hungary [now Czech Republic]
nm0660440,actor,Jirí Papez,Czechoslovakia
nm0623971,actor,Milos Nedbal,Inconnu
nm0532384,director,Jaroslav Mach,Inconnu
nm0126559,actor,László Bánhidi,Inconnu
nm0059896,actor,Zoltán Basilides,Inconnu
nm0126607,actor,Lajos Básti,Inconnu
nm0350579,actor,György Györffy,Inconnu
nm0904651,director,Zoltán Várkonyi,Inconnu
nm0045099,writer,László Babura,Inconnu
nm0045880,writer,Péter Bacsó,Inconnu
nm0862282,writer,Gábor Thurzó,Inconnu
nm0041509,actor,Michel Auclair,Inconnu
nm0785771,actor,Jean Servais,Inconnu
nm0350826,actor,Raymond Gérôme,Inconnu
nm0702429,director,Etienne Périer,Inconnu
nm0092267,writer,Pierre Boileau,Inconnu
nm0092268,writer,Thomas Narcejac,Inconnu
nm0264669,writer,Dominique Fabre,Inconnu
nm0884152,writer,Albert Valentin,Inconnu
nm0617875,actor,Gunnar Möller,Inconnu
nm0776711,actor,Erik Schumann,Inconnu
nm0936252,director,Frank Wisbar,Inconnu
nm0404665,actor,Robert Hutton,Inconnu
nm0323798,actor,John Goddard,Inconnu
nm0177949,actor,Clancy Cooper,USA
nm0775364,director,John F. Schreyer,Inconnu
nm0085143,writer,Robert J. Black Jr.,Inconnu
nm0075312,writer,Lester Wm. Berke,Inconnu
nm0738868,writer,Dean Romano,Inconnu
nm0431938,writer,Gary Judis,Inconnu
