Id,category,Label
nm0937257,actor,Marek Wlodarczyk
nm0793336,actor,Tarô Shigaki
nm0463514,actor,Asao Koike
nm0944760,director,Kimio Yabuki
nm0299330,writer,Hiroichi Fuse
nm0226446,actor,Anton Diffring
nm0581014,actor,Serge Merlin
nm0593844,actor,Christopher Mitchum
nm0423524,director,Alejandro Jodorowsky
nm0132798,writer,Reginald Campbell
nm0629947,writer,Nicholas Niciphor
nm0641530,writer,Jeffrey O'Kelly
nm0809681,actor,Reid Smith
nm0625280,actor,Danny Nelson
nm0906858,actor,Lou Walker
nm0401366,director,Don Hulette
nm0887695,actor,James Van Patten
nm0160865,actor,Norman Chu
nm0490492,actor,Tony Liu
nm0939429,actor,Jung Wang
nm0490541,director,Chun-Ku Lu
nm0399065,writer,Ying Wong
nm0315642,actor,Petrica Gheorghiu
nm0321366,actor,Aurel Giurumia
nm0492242,actor,Paul Lavric
nm0776651,actor,Ovidiu Schumacher
nm0086095,director,Andrei Blaier
nm0516327,actor,Meng Lo
nm0156982,actor,Sheng Chiang
nm0509600,actor,Li Wang
nm0523711,actor,Feng Lu
nm0151653,director,Cheh Chang
nm0393250,writer,Kuang Ni
nm0001768,actor,Rod Steiger
nm0400267,actor,David Huffman
nm0362222,actor,Jerry Hardin
nm0447944,director,Burt Kennedy
nm0434239,actor,Kazimierz Kaczor
nm0081466,actor,Zbigniew Bielski
nm0398721,actor,Mieczyslaw Hryniewicz
nm0538107,director,Lech Majewski
nm0816391,director,Krzysztof Sowinski
nm0515424,actor,Enrique Lizalde
nm0050048,actor,Rafael Baledón
nm0261826,director,José Estrada
nm0151155,actor,Michael Wai-Man Chan
nm0580664,actor,Luc Merenda
nm0000972,director,Tinto Brass
nm0299295,writer,Gian Carlo Fusco
nm0503542,writer,Roberto Lerici
nm0035280,actor,Jean-Pierre Armand
nm0176350,actor,Hamiri Conti
nm0344923,director,Gérard Grégory
nm0090955,actor,Mark Bodin
nm0056939,actor,Roberto Barrese
nm0409723,director,Ciro Ippolito
nm0698535,director,Biagio Proietti
nm0114135,actor,Lou Brown
nm0089944,actor,John Bluthal
nm0183325,director,Ian Coughlan
nm0000313,actor,Jeff Bridges
nm0000885,actor,Ned Beatty
nm0444198,actor,Steven Keats
nm0724927,director,William Richert
nm0169540,writer,Larry Cohen
nm0663266,actor,Orlando Parolini
nm0592190,actor,Roberto Miranda
nm0717024,director,Carlos Reichenbach
nm0033296,writer,Inácio Araújo
nm0000345,actor,Billy Crystal
nm0733427,actor,Harry Shearer
nm0294008,actor,Michael Fremer
nm0513974,director,Steven Lisberger
nm0021249,writer,Roger Allers
nm0636236,writer,John Norton
nm0187337,actor,Bruno Cremer
nm0099366,actor,Jean Bouise
nm0239429,actor,Jean-Pol Dubois
nm0958317,actor,Jérôme Zucca
nm0631230,director,Edouard Niermans
nm0959413,writer,Eduardo Álvarez
nm0260469,actor,Javier Escrivá
nm0554632,director,Eugenio Martín
nm0161728,writer,Chumy Chúmez
nm0191186,writer,Antonio Cuevas
nm0559120,writer,Manolo Matji
nm0838757,writer,Manuel Summers
nm0029258,actor,Willie Andréason
nm0424052,actor,Roland Johansson
nm0424077,actor,Thomas Johansson
nm0109811,writer,Anita Brise
nm0001537,actor,Ray Milland
nm0250006,director,George Edwards
nm0004372,director,Gary Graver
nm0000086,actor,Louis de Funès
nm0127682,actor,Franck Cabot-David
nm0069191,actor,Hervé Bellon
nm0041620,actor,Georges Audoubert
nm0320833,director,Jean Girault
nm0596942,writer,Molière
nm0380593,actor,Rolf Herricht
nm0459322,actor,Hans Klering
nm0457415,director,Georgi Kissimov
nm0067864,writer,Kurt Belicke
nm0381309,writer,Gabriele Herzog
nm0240940,actor,Richard Duggan
nm0302410,director,John A. Gallagher
nm0025263,writer,Marino Amoruso
nm0194490,actor,Béla Czink
nm0270843,actor,András Fekete
nm0126997,actor,Lajos Bödö
nm0457357,actor,Lajos Kiss
nm0900187,director,László Vitézy
nm0843726,writer,Györgyi Szalai
nm0826835,actor,Bernd Stephan
nm0066524,actor,Hans Beerhenke
nm0221527,actor,Ivan Desny
nm0926872,director,Wigbert Wicker
nm0237252,writer,Hans Drawe
nm0027984,actor,Péter Andorai
nm0190789,actor,Károly Csáki
nm0843640,director,István Szabó
nm0844438,writer,Erika Szántó
nm0595115,actor,W.D. Mochtar
nm0837208,director,Liliek Sudjio
nm0637694,actor,Alan Nuary
nm0375176,actor,Richard Hell
nm0518579,actor,Ulli Lommel
nm0534831,writer,Robert Madero
nm0409588,actor,Serban Ionescu
nm0855256,actor,Valentin Teodosiu
nm0613839,director,Mircea Muresan
nm0691489,writer,Titus Popovici
nm0714384,writer,Liviu Rebreanu
nm0425288,actor,James Johnson
nm0569074,actor,Jerry McGee
nm0957263,director,Joseph Zito
nm0415712,writer,Robert Jahn
nm0530376,actor,Temístocles López
nm0196801,actor,Antonio Eduardo Dagnino
nm0145030,actor,Carlos Castillo
nm0617307,actor,Hugo Márquez
nm0753858,director,Diego Rísquez
nm0053872,writer,Gastón Barbu
nm0396355,actor,Germain Houde
nm0542532,director,Francis Mankiewicz
nm0239806,writer,Réjean Ducharme
nm0209336,actor,Danny De La Paz
nm0000734,actor,Eddie Albert
nm0311155,actor,Michael V. Gazzo
nm0500609,director,Christopher Leitch
nm0021363,writer,Michael Allin
nm0799434,actor,Tomás Simek
nm0388653,actor,Michal Hofbauer
nm0064950,actor,Lukás Bech
nm0687759,director,Vera Plívová-Simková
nm0095524,actor,Richard Boone
nm0001536,actor,Toshirô Mifune
nm0823563,actor,Mike Starr
nm0614751,actor,Timothy Patrick Murphy
nm0467624,director,Tsugunobu Kotani
nm0653857,writer,William Overgard
nm0783744,actor,Artur Semedo
nm0182269,actor,Orlando Costa
nm0873569,director,Alfredo Tropa
nm0039858,writer,Fernando Assis Pacheco
nm0007069,actor,Pierre Richard
nm0531511,actor,Aldo Maccione
nm0323708,writer,Alain Godard
nm0599604,actor,Enrico Montesano
nm0275269,director,Pasquale Festa Campanile
nm0315790,writer,Renato Ghiotti
nm0817118,writer,Santino Sparta
nm0879676,writer,Stefano Ubezio
nm0700302,actor,Enzo Pulcrano
nm0223642,actor,Paolo Di Bella
nm0300415,director,Bruno Gaburro
nm0648839,director,Lorenzo Onorati
nm0135375,writer,Giustino Caporale
nm0597265,writer,Ambrogio Molteni
nm0302080,actor,Juan Luis Galiardo
nm0600120,actor,Ovidi Montllor
nm0718704,actor,Fermí Reixach
